Video_ID,Channel,Title,Thumbnail_Description,Upload_Date,Upload_Time,Duration_Minutes,Views,CTR_Percent,Avg_Retention_Percent,Watch_Time_Hours,Retention_30sec,Retention_1min,Retention_2min,Retention_5min,Retention_10min,Retention_End,Likes,Comments,Shares
VID_013,Your Channel,Complete Web Development Roadmap 2025,Roadmap infographic + multiple tech logos + clean layout,2025-10-18,Midday (11am-1pm),22,24018,8.5,48.5,4271,58.2,56.3,48.8,36.9,35.4,25.7,851,413,148
VID_014,Your Channel,I Quit My 6-Figure Job to Start This Business,Corporate office + resignation letter + happy expression,2025-12-27,Midday (11am-1pm),8,13170,13.5,53.5,939,63.9,57.2,56.9,42.2,36.4,30.8,807,306,96
VID_015,Your Channel,Why I Deleted All My Social Media,Social media logos with red X + peaceful face,2025-10-25,Evening (5-7pm),18,64729,6.7,42.8,8311,57.5,49.9,43.0,31.2,23.0,20.8,3189,1011,515
VID_016,Your Channel,Build a Full Stack App in One Video,Coding screen + full project visible + progress timeline,2025-12-16,Midday (11am-1pm),22,6068,6.7,43.4,965,58.6,48.6,44.7,34.8,26.3,21.9,446,89,44
VID_017,Your Channel,The Side Hustle That Pays $100/Hour,Calculator showing '$100' + clock icon + excited face,2025-12-16,Evening (5-7pm),8,101469,13.7,45.4,6142,55.4,53.5,45.1,40.2,28.2,24.9,7376,2389,428
VID_018,Your Channel,5 AI Tools That Will Replace Your Job in 2025,Robot imagery + worried face + '2025' text prominent,2025-12-28,Morning (6-9am),12,54543,8.8,67.0,7308,84.8,70.5,66.8,60.7,52.9,42.2,2882,1304,336
VID_019,Your Channel,My YouTube Studio Setup Tour ($5K Budget),Wide desk setup shot + RGB lighting + expensive gear,2025-12-07,Evening (5-7pm),10,32710,13.4,55.5,3025,66.0,60.6,55.4,44.6,42.4,27.6,1297,711,224
VID_020,Your Channel,How to Get 1000 Subscribers FAST in 2025,1000 subscriber milestone graphic + growth chart + pointing,2025-11-10,Night (8-10pm),16,43879,7.8,53.0,6201,62.9,56.5,53.4,47.6,33.9,34.6,2058,852,174
VID_021,Your Channel,I Tested 10 Productivity Apps - Here's The Winner,Grid of 10 app icons + winner crown on one + ratings,2026-01-10,Midday (11am-1pm),8,31029,9.9,63.8,2639,72.2,72.6,64.0,57.9,47.6,35.0,1485,692,98
VID_022,Your Channel,Machine Learning Explained in 15 Minutes,Neural network diagram + brain graphics + '15 min' timer,2025-10-17,Afternoon (2-4pm),32,21887,3.8,56.7,6618,69.9,62.0,59.5,49.8,41.2,37.6,1600,486,135
VID_023,Your Channel,Your Content Isn't Growing - Here's Why,Declining graph + frustrated expression + 'FIX NOW' text,2025-11-07,Afternoon (2-4pm),18,13691,4.9,45.5,1868,54.4,49.8,49.1,36.0,29.4,20.0,761,207,47
VID_024,Your Channel,Building a $100K SaaS from Scratch,Revenue dashboard + $100K highlighted + laptop screen,2025-10-22,Afternoon (2-4pm),16,53069,6.8,34.0,4811,42.9,39.2,37.9,27.8,21.9,20.0,2583,580,244
VID_025,Your Channel,The Reality of Being Self-Employed Nobody Shows,Tired face + messy desk + honest expression + dark tone,2025-10-27,Afternoon (2-4pm),22,50773,13.0,32.3,6013,40.5,41.8,33.3,23.5,14.8,20.0,2900,429,279
VID_026,Your Channel,Docker Crash Course - Beginner to Advanced,Docker whale logo + terminal screenshot + code snippets,2025-12-17,Night (8-10pm),28,20914,4.9,77.4,7554,93.5,86.1,79.2,66.7,60.2,56.5,595,203,44
VID_027,Your Channel,This Marketing Strategy Got Me 100K Followers,Exponential growth graph + '100K' text + celebration,2025-11-01,Morning (6-9am),10,38261,4.4,47.6,3035,62.4,53.0,47.2,39.1,30.1,24.7,2635,784,260
VID_028,Your Channel,What I Wish I Knew Before Starting a Business,Regretful expression + calendar with X marks + warning sign,2026-01-03,Midday (11am-1pm),8,10195,8.1,62.2,845,77.5,66.1,61.7,53.1,43.3,36.3,473,211,66
VID_029,Your Channel,My Minimalist Desk Setup 2025,Clean desk aesthetic + plants + white background + minimal tech,2025-12-18,Morning (6-9am),18,61884,8.5,62.8,11658,73.8,66.5,61.1,51.1,44.0,39.8,4486,1495,336
VID_030,Your Channel,How to Build an AI App from Scratch,AI interface + laptop coding + futuristic blue theme,2026-01-01,Evening (5-7pm),12,38561,6.7,47.9,3694,58.0,57.5,50.6,42.1,28.5,20.0,2023,597,282
VID_031,Competitor A,I Failed for 3 Years Before This Breakthrough,Crying emoji + '3 YEARS' text + breakthrough moment split,2025-11-10,Afternoon (2-4pm),14,85691,15.4,58.9,11776,75.6,67.8,59.5,52.3,43.7,28.4,2490,809,678
VID_032,Competitor A,JavaScript Advanced Concepts Every Dev Needs,Complex code snippet + highlighter effect + pro developer vibe,2025-11-02,Afternoon (2-4pm),8,72147,12.6,76.6,7368,90.5,82.1,78.8,68.2,61.6,48.7,5073,713,357
VID_033,Competitor A,Why I Invested $50K in Crypto (Honest Review),Bitcoin logo + portfolio graph + serious expression + '$50K',2025-12-21,Morning (6-9am),16,147602,14.6,45.2,17790,61.4,53.4,47.3,38.5,30.0,20.5,10100,1741,1148
VID_034,Competitor A,The Best Business Advice I Ever Received,Mentor/advice aesthetic + notepad + wisdom quote overlay,2025-11-27,Morning (6-9am),18,135575,8.7,75.2,30585,92.4,84.6,74.7,65.3,62.6,54.9,8105,2132,781
VID_035,Competitor A,Coding Interview Prep - Top 20 Questions,Whiteboard with algorithms + professional attire + clean design,2025-11-26,Evening (5-7pm),18,158313,8.7,59.3,28163,71.9,66.6,59.0,53.0,43.6,36.4,6062,2236,563
VID_036,Competitor A,How I Automate My Entire YouTube Channel,Workflow automation diagram + relaxed coffee pose + calm colors,2025-11-29,Afternoon (2-4pm),16,64543,12.4,62.7,10791,77.5,66.8,66.2,51.9,43.1,34.5,4579,607,468
VID_037,Competitor A,"This Mistake Cost Me $30,000 (Don't Do This)",Face palm + '$30K' in red + sad emoji + warning colors,2025-10-30,Evening (5-7pm),10,166922,16.0,59.2,16469,77.1,63.3,60.8,51.5,39.4,29.4,4703,1439,467
VID_038,Competitor A,Full Stack Developer Course - 10 Hour Tutorial,Full IDE screenshot + file explorer + '10 HOURS' badge,2025-10-29,Morning (6-9am),48,43225,9.6,88.0,30430,96.0,94.9,90.6,76.4,69.2,66.5,1523,530,157
VID_039,Competitor A,The REAL Cost of Being a Content Creator,Expensive equipment + price tags floating + shocked reaction,2025-11-22,Midday (11am-1pm),22,78032,12.3,53.2,15221,62.3,60.9,54.3,42.8,37.0,23.3,5727,741,526
VID_040,Competitor A,Scaling to $1M Revenue - What I Learned,$1M milestone graphic + scaling chart + business professional look,2025-12-16,Evening (5-7pm),18,181418,16.0,59.4,32328,74.4,63.9,58.2,54.3,44.6,33.1,9568,1732,1153
VID_041,Competitor B,I Tried Every AI Tool - Top 5 Revealed,5 AI tool logos + ranking numbers + comparison grid + winner highlight,2025-10-19,Evening (5-7pm),10,135242,15.1,57.4,12938,74.0,67.0,56.3,45.9,41.5,35.8,3691,2509,552
VID_042,Competitor B,YouTube Algorithm Changed - Do This NOW,YouTube logo + algorithm graph + urgent red background + 'NOW',2025-11-09,Midday (11am-1pm),22,57874,9.5,63.4,13453,72.7,67.5,62.2,53.9,49.9,40.6,3976,969,453
VID_043,Competitor B,Building a Mobile App - Complete Tutorial,Phone mockups + app interface + code background + modern design,2025-10-29,Evening (5-7pm),32,63494,11.2,79.1,26786,88.9,82.7,77.8,70.9,65.4,56.0,2635,855,162
VID_044,Competitor B,Why I Left California for Dubai,Dubai skyline + airplane + passport + adventure vibe,2025-11-20,Afternoon (2-4pm),16,85220,10.3,53.9,12248,61.9,63.0,52.4,44.7,34.0,28.4,4195,1577,359
VID_045,Competitor B,My Favorite Tech Tools for Productivity,Flat lay of tech gadgets + organized aesthetic + productivity theme,2025-12-31,Afternoon (2-4pm),22,115578,10.2,56.3,23859,71.2,65.2,58.8,51.1,37.4,33.3,3495,2373,357
VID_046,Competitor B,This Side Hustle Pays $5K/Month (Beginner Friendly),$5K' prominent + simple task visual + 'EASY' badge + beginner friendly,2025-10-21,Evening (5-7pm),8,216232,12.2,52.0,14992,68.9,59.2,54.1,41.5,36.0,32.8,11750,4470,992
VID_047,Competitor B,What YouTubers Don't Tell You About Money,Money bags + YouTuber behind camera + hidden truth theme + dark,2025-11-06,Morning (6-9am),10,72962,9.6,66.1,8037,76.5,72.6,66.1,54.6,54.0,44.9,2721,782,227
VID_048,Competitor B,REST API Tutorial - Node.js & Express,API diagram + Postman interface + Node.js logo + code editor,2025-10-28,Midday (11am-1pm),38,29998,11.6,70.2,13337,78.4,78.1,74.2,58.9,53.6,39.4,1975,371,90
VID_049,Competitor B,My Biggest Business Failure and Lessons Learned,Failure to success arrow + lessons text + reflective expression,2026-01-03,Evening (5-7pm),12,297360,16.0,52.7,31341,69.1,57.1,56.5,42.7,39.1,24.4,9141,5465,1109
VID_050,Competitor B,Get Your First 10K Followers - Proven Strategy,10K follower milestone + strategy blueprint + growth chart + excited,2025-10-23,Evening (5-7pm),8,77047,11.7,63.3,6502,75.0,69.5,64.6,54.5,49.7,35.7,2907,1509,505
